Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,236500.000000,237000.000000,225000.000000,230000.000000,213079.453125,260284
2010-10-04,228000.000000,231000.000000,224500.000000,230000.000000,213079.453125,137309
2010-10-05,229000.000000,234000.000000,226000.000000,228500.000000,211689.765625,143196
2010-10-06,230500.000000,234000.000000,229000.000000,231000.000000,214005.875000,119382
2010-10-07,229000.000000,231000.000000,221000.000000,226000.000000,209373.687500,138476
2010-10-08,227000.000000,227500.000000,219000.000000,220500.000000,204278.343750,307348
2010-10-11,223000.000000,224000.000000,217000.000000,221500.000000,205204.750000,133256
2010-10-12,222500.000000,222500.000000,216000.000000,220500.000000,204278.343750,116956
2010-10-13,221000.000000,228500.000000,220500.000000,226500.000000,209836.937500,128919
2010-10-14,227000.000000,238500.000000,226000.000000,238500.000000,220954.125000,262142
2010-10-15,238500.000000,240500.000000,232500.000000,236000.000000,218638.031250,108223
2010-10-18,238000.000000,238000.000000,233500.000000,235000.000000,217711.609375,84480
2010-10-19,235000.000000,237000.000000,227500.000000,232000.000000,214932.296875,104550
2010-10-20,230000.000000,237500.000000,227000.000000,235000.000000,217711.609375,86881
2010-10-21,234500.000000,237500.000000,232000.000000,236500.000000,219101.234375,69398
2010-10-22,235500.000000,245500.000000,234000.000000,244500.000000,226512.703125,171445
2010-10-25,245000.000000,250000.000000,241500.000000,248000.000000,229755.218750,130828
2010-10-26,248000.000000,254000.000000,245500.000000,248000.000000,229755.218750,105811
2010-10-27,245000.000000,253500.000000,245000.000000,250000.000000,231608.093750,76318
2010-10-28,250000.000000,252000.000000,247000.000000,248500.000000,230218.421875,51682
2010-10-29,252000.000000,252000.000000,244000.000000,247500.000000,229291.984375,80457
2010-11-01,247500.000000,260500.000000,244000.000000,258000.000000,239019.531250,130862
2010-11-02,254500.000000,261500.000000,254000.000000,256500.000000,237629.875000,98022
2010-11-03,256500.000000,259500.000000,250500.000000,259500.000000,240409.187500,125088
2010-11-04,255000.000000,263500.000000,252000.000000,260500.000000,241335.625000,139897
2010-11-05,264500.000000,274000.000000,262500.000000,264000.000000,244578.140625,198166
2010-11-08,263500.000000,263500.000000,256500.000000,256500.000000,237629.875000,95539
2010-11-09,259000.000000,264500.000000,256500.000000,262500.000000,243188.500000,69744
2010-11-10,256000.000000,261000.000000,251000.000000,256500.000000,237629.875000,201639
2010-11-11,255000.000000,257500.000000,246000.000000,246000.000000,227902.343750,193182
2010-11-12,250500.000000,253000.000000,240500.000000,243000.000000,225123.046875,122502
2010-11-15,243500.000000,253500.000000,243500.000000,248500.000000,230218.421875,100536
2010-11-16,245500.000000,261500.000000,245500.000000,259000.000000,239945.984375,153460
2010-11-17,257000.000000,269500.000000,255000.000000,267500.000000,247820.671875,226883
2010-11-18,270000.000000,275000.000000,269000.000000,270000.000000,250136.718750,243169
2010-11-19,271000.000000,274500.000000,266000.000000,273000.000000,252916.046875,114051
2010-11-22,271500.000000,274000.000000,257500.000000,263000.000000,243651.718750,284610
2010-11-23,261500.000000,262000.000000,253000.000000,254000.000000,235313.796875,264508
2010-11-24,249000.000000,257000.000000,245500.000000,252000.000000,233460.953125,243788
2010-11-25,253000.000000,255000.000000,246500.000000,251000.000000,232534.515625,142404
2010-11-26,252000.000000,254500.000000,247500.000000,248500.000000,230218.421875,119404
2010-11-29,245000.000000,252000.000000,243000.000000,249000.000000,230681.656250,55259
2010-11-30,248000.000000,251000.000000,242500.000000,248000.000000,229755.218750,142235
2010-12-01,249500.000000,255500.000000,246000.000000,255000.000000,236240.250000,146824
2010-12-02,255500.000000,256500.000000,245000.000000,249000.000000,230681.656250,182585
2010-12-03,247500.000000,248000.000000,235500.000000,239500.000000,221880.562500,508395
2010-12-06,239500.000000,239500.000000,226500.000000,226500.000000,209836.937500,287734
2010-12-07,229500.000000,234500.000000,227000.000000,228000.000000,211226.546875,227835
2010-12-08,229000.000000,234000.000000,229000.000000,231500.000000,214469.078125,209603
2010-12-09,233500.000000,234500.000000,230500.000000,233500.000000,216321.953125,151447
2010-12-10,233000.000000,233500.000000,227500.000000,229000.000000,212153.015625,175293
2010-12-13,232500.000000,232500.000000,219500.000000,222000.000000,205667.953125,416657
2010-12-14,222000.000000,225500.000000,219500.000000,225000.000000,208447.265625,205593
2010-12-15,225500.000000,227500.000000,220000.000000,222500.000000,206131.187500,205586
2010-12-16,220000.000000,231500.000000,220000.000000,231500.000000,214469.078125,387983
2010-12-17,232500.000000,235500.000000,228000.000000,228000.000000,211226.546875,220651
2010-12-20,225000.000000,227000.000000,215000.000000,218000.000000,201962.250000,301137
2010-12-21,220000.000000,221500.000000,208000.000000,212000.000000,196403.640625,648085
2010-12-22,212000.000000,217500.000000,197000.000000,198000.000000,183433.593750,1324630
2010-12-23,202500.000000,205500.000000,196500.000000,202000.000000,187139.328125,857636
2010-12-24,200000.000000,203000.000000,192000.000000,192500.000000,178338.234375,578544
2010-12-27,192000.000000,201000.000000,192000.000000,197500.000000,182970.375000,485897
2010-12-28,198000.000000,204000.000000,196000.000000,201000.000000,186212.906250,422434
2010-12-29,201500.000000,203500.000000,200000.000000,200500.000000,186305.828125,166833
2010-12-30,202000.000000,208500.000000,199500.000000,208500.000000,193739.453125,303038
2011-01-03,210500.000000,210500.000000,206000.000000,207000.000000,192345.656250,243796
2011-01-04,209000.000000,209500.000000,200000.000000,206500.000000,191881.031250,278453
2011-01-05,207000.000000,207000.000000,202000.000000,205500.000000,190951.843750,291427
2011-01-06,203500.000000,211500.000000,199500.000000,210500.000000,195597.875000,523503
2011-01-07,212000.000000,220000.000000,211500.000000,218500.000000,203031.515625,564784
2011-01-10,218500.000000,220000.000000,213500.000000,217000.000000,201637.703125,178975
2011-01-11,215500.000000,220000.000000,211500.000000,218500.000000,203031.515625,335255
2011-01-12,221500.000000,222000.000000,211500.000000,212000.000000,196991.656250,369571
2011-01-13,210000.000000,211000.000000,203000.000000,204500.000000,190022.640625,543348
2011-01-14,203000.000000,206500.000000,200500.000000,203000.000000,188628.812500,416809
2011-01-17,201000.000000,204000.000000,189000.000000,189000.000000,175619.937500,921067
2011-01-18,192500.000000,198000.000000,192000.000000,194500.000000,180730.578125,467036
2011-01-19,198000.000000,201500.000000,193500.000000,201000.000000,186770.437500,357297
2011-01-20,200000.000000,203500.000000,198500.000000,200000.000000,185841.203125,272333
2011-01-21,200500.000000,205000.000000,195500.000000,203000.000000,188628.812500,274674
2011-01-24,201000.000000,210000.000000,198500.000000,209000.000000,194204.078125,267044
2011-01-25,208000.000000,209500.000000,201000.000000,203000.000000,188628.812500,317973
