Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,10711.599609,10711.599609,10593.299805,10608.099609,6630.148438,47360
2010-10-04,10711.599609,10785.599609,10622.900391,10711.599609,6694.835938,80773
2010-10-05,10785.599609,10889.200195,10534.099609,10652.500000,6657.897949,98938
2010-10-06,10741.200195,10770.799805,10593.299805,10652.500000,6657.897949,65569
2010-10-07,10652.500000,10874.400391,10622.900391,10844.799805,6778.087402,64917
2010-10-08,10859.599609,11392.200195,10859.599609,10933.599609,6833.587891,126451
2010-10-11,11066.700195,11066.700195,10874.400391,10948.400391,6842.838379,29510
2010-10-12,10948.400391,10948.400391,10741.200195,10830.000000,6768.837402,34890
2010-10-13,10830.000000,10918.799805,10756.000000,10830.000000,6768.837402,34005
2010-10-14,10948.400391,10948.400391,10770.799805,10918.799805,6824.338867,32484
2010-10-15,10918.799805,10918.799805,10696.799805,10785.599609,6741.087891,46215
2010-10-18,10785.599609,10800.400391,10622.900391,10800.400391,6750.337402,41051
2010-10-19,10889.200195,10889.200195,10696.799805,10785.599609,6741.087891,52386
2010-10-20,10770.799805,10785.599609,10652.500000,10785.599609,6741.087891,49155
2010-10-21,10696.799805,11244.299805,10696.799805,11244.299805,7027.777832,26350
2010-10-22,11199.900391,11199.900391,11037.099609,11140.700195,6963.028320,23068
2010-10-25,11185.099609,11185.099609,10992.799805,11140.700195,6963.028320,47232
2010-10-26,11185.099609,11451.400391,11170.299805,11421.799805,7138.716797,111790
2010-10-27,11540.200195,12205.900391,11510.599609,11984.000000,7490.097168,131125
2010-10-28,11984.000000,11984.000000,11702.900391,11895.299805,7434.659180,55055
2010-10-29,11895.299805,12132.000000,11747.299805,12132.000000,7582.598633,25336
2010-11-01,12191.200195,12220.700195,11880.500000,12043.200195,7527.097168,41227
2010-11-02,11895.299805,12191.200195,11732.500000,11806.500000,7379.157715,34417
2010-11-03,11806.500000,11895.299805,11717.700195,11836.099609,7397.657227,20983
2010-11-04,11836.099609,11984.000000,11481.000000,11717.700195,7323.656738,54268
2010-11-05,11717.700195,11836.099609,11451.400391,11599.299805,7249.656250,66255
2010-11-08,11451.400391,11599.299805,11392.200195,11540.200195,7212.718262,41243
2010-11-09,11540.200195,11628.900391,11377.400391,11540.200195,7212.718262,88442
2010-11-10,11540.200195,11643.700195,11481.000000,11510.599609,7194.216797,23068
2010-11-11,11481.000000,11540.200195,11392.200195,11421.799805,7138.716797,56282
2010-11-12,11392.200195,11481.000000,11214.700195,11214.700195,7009.277832,42889
2010-11-15,11392.200195,11481.000000,11244.299805,11303.400391,7064.716309,17783
2010-11-16,11303.400391,11421.799805,11081.500000,11155.500000,6972.277832,25137
2010-11-17,11022.299805,11140.700195,11022.299805,11140.700195,6963.028320,21595
2010-11-18,11140.700195,11140.700195,10785.599609,11037.099609,6898.276367,82693
2010-11-19,11066.700195,11244.299805,11037.099609,11244.299805,7027.777832,33258
2010-11-22,11244.299805,11628.900391,11229.500000,11525.400391,7203.468262,55782
2010-11-23,11481.000000,11599.299805,11318.200195,11481.000000,7175.717285,38955
2010-11-24,11066.700195,11510.599609,11066.700195,11392.200195,7120.217773,46015
2010-11-25,11392.200195,11614.099609,11392.200195,11510.599609,7194.216797,28739
2010-11-26,11643.700195,11658.500000,11392.200195,11421.799805,7138.716797,27502
2010-11-29,11421.799805,11599.299805,11259.099609,11362.599609,7101.715820,13653
2010-11-30,11717.700195,11717.700195,11007.500000,11007.500000,6879.775879,77803
2010-12-01,11066.700195,11244.299805,10992.799805,11244.299805,7027.777832,56090
2010-12-02,11244.299805,11303.400391,11081.500000,11096.299805,6935.277344,62311
2010-12-03,11111.099609,11377.400391,11111.099609,11377.400391,7110.967285,90003
2010-12-06,11377.400391,11540.200195,11259.099609,11510.599609,7194.216797,54285
2010-12-07,11584.599609,11688.099609,11481.000000,11495.799805,7184.967773,97782
2010-12-08,11540.200195,11540.200195,11273.900391,11481.000000,7175.717285,120888
2010-12-09,11555.000000,11658.500000,11525.400391,11643.700195,7277.406250,99841
2010-12-10,11673.299805,11762.099609,11643.700195,11762.099609,7351.405762,37343
2010-12-13,11732.500000,11969.200195,11732.500000,11762.099609,7351.405762,53954
2010-12-14,11865.700195,11924.799805,11776.900391,11806.500000,7379.157715,41521
2010-12-15,11806.500000,11836.099609,11436.599609,11540.200195,7212.718262,73355
2010-12-16,11540.200195,11540.200195,11229.500000,11259.099609,7037.028320,86407
2010-12-17,11244.299805,11303.400391,11185.099609,11214.700195,7009.277832,59145
2010-12-20,11185.099609,11229.500000,10859.599609,10992.799805,6870.587891,103744
2010-12-21,11244.299805,11244.299805,11096.299805,11214.700195,7009.277832,64062
2010-12-22,11214.700195,11273.900391,10963.200195,11125.900391,6953.777832,71510
2010-12-23,11185.099609,11303.400391,11096.299805,11244.299805,7027.777832,52193
2010-12-24,11288.700195,11481.000000,11259.099609,11392.200195,7120.217773,70740
2010-12-27,11392.200195,11688.099609,11377.400391,11614.099609,7258.906250,63389
2010-12-28,11658.500000,11688.099609,11377.400391,11407.000000,7129.466797,95511
2010-12-29,11155.500000,11288.700195,11140.700195,11170.299805,7802.320313,33457
2010-12-30,11170.299805,11407.000000,11081.500000,11214.700195,7833.333984,27857
2011-01-03,11214.700195,11214.700195,11007.500000,11066.700195,7729.958008,69273
2011-01-04,11392.200195,11392.200195,11125.900391,11244.299805,7854.008301,82223
