Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,35000,36600,34900,35900,31573.64258,177051
2010-10-04,36300,37200,36100,37100,32629.03125,273558
2010-10-05,36800,38150,36800,37900,33332.61719,229069
2010-10-06,38250,38500,37600,38100,33508.52344,157940
2010-10-07,37950,39000,37800,39000,34300.0625,124065
2010-10-08,39000,39000,37800,38000,33420.56641,129117
2010-10-11,38000,38000,37050,37900,33332.61719,83385
2010-10-12,37550,37900,36450,36550,32145.31445,125534
2010-10-13,36750,37200,36400,36900,32453.12695,103845
2010-10-14,37100,38000,37100,38000,33420.56641,204433
2010-10-15,38000,38000,37250,38000,33420.56641,147766
2010-10-18,37600,37750,36500,36500,32101.33789,91715
2010-10-19,36700,37000,36250,36700,32277.23633,136129
2010-10-20,36300,37550,35550,37150,32673.00781,96723
2010-10-21,37200,37250,36150,36700,32277.23633,131141
2010-10-22,36450,37300,36300,36500,32101.33789,113534
2010-10-25,36350,37400,36350,37150,32673.00781,102891
2010-10-26,36950,37200,36300,37200,32716.98047,159027
2010-10-27,37150,37200,36000,36050,31705.56445,114909
2010-10-28,35750,36650,35600,35950,31617.61914,92211
2010-10-29,36450,36450,34850,35450,31177.88086,147197
2010-11-01,35450,36750,35100,36750,32321.20898,85361
2010-11-02,36500,36700,35850,36200,31837.49219,67490
2010-11-03,36300,37250,36150,36650,32233.26563,93951
2010-11-04,36750,37500,36500,36750,32321.20898,63895
2010-11-05,37900,38400,37800,38000,33420.56641,141393
2010-11-08,38050,38700,37700,38550,33904.28516,100715
2010-11-09,38400,39700,38050,39000,34300.0625,132875
2010-11-10,39000,39950,38800,39950,35135.57813,146806
2010-11-11,40000,40100,37500,37500,32980.83203,339529
2010-11-12,38300,38600,35650,35650,31353.77148,272448
2010-11-15,35650,36150,35450,35500,31221.84961,102037
2010-11-16,35200,35950,34200,34900,30694.1543,201761
2010-11-17,34500,35300,34150,35100,30870.05664,128075
2010-11-18,34850,36850,34650,36500,32101.33789,151422
2010-11-19,36500,36500,36000,36450,32057.36328,96146
2010-11-22,36550,36950,36000,36500,32101.33789,106215
2010-11-23,36200,36550,35250,35450,31177.88086,165421
2010-11-24,34450,35950,34000,35500,31221.84961,142783
2010-11-25,35600,35650,34600,34950,30738.13281,146378
2010-11-26,35150,35550,34350,34850,30650.18164,79101
2010-11-29,35050,35250,33900,34000,29902.61719,88058
2010-11-30,33650,34650,33650,34550,30386.33789,92622
2010-12-01,35000,35000,34000,34400,30254.41016,116689
2010-12-02,34700,34800,34150,34300,30166.46289,209956
2010-12-03,34550,34550,33900,33950,29858.64453,118588
2010-12-06,34200,34250,33200,33650,29594.79688,167692
2010-12-07,33450,34600,33450,34500,30342.36133,194089
2010-12-08,34200,34700,33850,34700,30518.25586,198190
2010-12-09,34650,35550,34550,35550,31265.82422,252153
2010-12-10,35250,35900,35100,35900,31573.64258,173355
2010-12-13,36150,37200,35750,37000,32541.08203,233295
2010-12-14,36900,37200,36600,37000,32541.08203,132890
2010-12-15,36850,38300,36500,38000,33420.56641,237775
2010-12-16,37750,41500,37750,40550,35663.26953,857835
