Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,417500.000000,420500.000000,414500.000000,418500.000000,396146.468750,26594
2010-10-04,411000.000000,415500.000000,404500.000000,413000.000000,390940.187500,40322
2010-10-05,415000.000000,416000.000000,403000.000000,403000.000000,381474.312500,25646
2010-10-06,404500.000000,409000.000000,402500.000000,406000.000000,384314.125000,22122
2010-10-07,405500.000000,405500.000000,396500.000000,400500.000000,379107.843750,41581
2010-10-08,395000.000000,398000.000000,374000.000000,374000.000000,354023.343750,240995
2010-10-11,377500.000000,378500.000000,365000.000000,366000.000000,346450.625000,103801
2010-10-12,366500.000000,369500.000000,359000.000000,363000.000000,343610.875000,60214
2010-10-13,370000.000000,376500.000000,368000.000000,370500.000000,350710.281250,49770
2010-10-14,374500.000000,378500.000000,368500.000000,370500.000000,350710.281250,33966
2010-10-15,376500.000000,380500.000000,373000.000000,374500.000000,354496.593750,50164
2010-10-18,375000.000000,376000.000000,360500.000000,360500.000000,341244.437500,30957
2010-10-19,362000.000000,367000.000000,361000.000000,363000.000000,343610.875000,35351
2010-10-20,366000.000000,366000.000000,352500.000000,354500.000000,335564.937500,29842
2010-10-21,360000.000000,367000.000000,354500.000000,366500.000000,346923.906250,61767
2010-10-22,372000.000000,375000.000000,369000.000000,372500.000000,352603.406250,42563
2010-10-25,375000.000000,375000.000000,369000.000000,370000.000000,350236.968750,22959
2010-10-26,365500.000000,365500.000000,356500.000000,360500.000000,341244.437500,72887
2010-10-27,363500.000000,375000.000000,362000.000000,375000.000000,354969.906250,38158
2010-10-28,373000.000000,376500.000000,370500.000000,375000.000000,354969.906250,26814
2010-10-29,379000.000000,379500.000000,370000.000000,375000.000000,354969.906250,38017
2010-11-01,380500.000000,395000.000000,377000.000000,395000.000000,373901.656250,80671
2010-11-02,405500.000000,421000.000000,400000.000000,418500.000000,396146.468750,97938
2010-11-03,412500.000000,432000.000000,412000.000000,428500.000000,405612.250000,66644
2010-11-04,428000.000000,433500.000000,425000.000000,427000.000000,404192.406250,34682
2010-11-05,420000.000000,426000.000000,414000.000000,414000.000000,391886.750000,39899
2010-11-08,410000.000000,410000.000000,399000.000000,399500.000000,378161.312500,41653
2010-11-09,400000.000000,403000.000000,397500.000000,399000.000000,377688.000000,35634
2010-11-10,398000.000000,404000.000000,388500.000000,400000.000000,378634.562500,67660
2010-11-11,397500.000000,402000.000000,379000.000000,379000.000000,358756.218750,57619
2010-11-12,391000.000000,399500.000000,383000.000000,383000.000000,362542.562500,70181
