Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,146000.000000,148500.000000,142000.000000,144000.000000,117679.515625,840356
2010-10-04,147000.000000,151000.000000,146500.000000,148500.000000,121356.992188,763708
2010-10-05,147000.000000,148000.000000,141000.000000,143000.000000,116862.296875,712660
2010-10-06,145500.000000,151000.000000,145000.000000,150500.000000,122991.437500,781261
2010-10-07,150000.000000,155000.000000,149000.000000,154500.000000,126260.304688,686450
2010-10-08,155000.000000,158000.000000,153000.000000,153000.000000,125034.484375,611975
2010-10-11,153000.000000,155000.000000,150500.000000,151000.000000,123400.031250,458689
2010-10-12,151000.000000,154500.000000,146500.000000,148500.000000,121356.992188,729140
2010-10-13,150000.000000,152500.000000,147500.000000,151000.000000,123400.031250,499108
2010-10-14,152000.000000,153500.000000,149000.000000,151000.000000,123400.031250,577926
2010-10-15,151000.000000,156500.000000,150500.000000,154000.000000,125851.687500,464336
2010-10-18,154000.000000,154500.000000,149000.000000,149000.000000,121765.601563,415667
2010-10-19,150000.000000,151500.000000,147500.000000,147500.000000,120539.781250,385163
2010-10-20,145000.000000,147000.000000,144000.000000,146000.000000,119313.953125,591521
2010-10-21,147500.000000,149500.000000,146000.000000,147000.000000,120131.164063,466527
2010-10-22,148500.000000,155000.000000,148000.000000,154000.000000,125851.687500,674726
2010-10-25,156000.000000,160500.000000,154500.000000,159500.000000,130346.414063,737239
2010-10-26,159500.000000,161000.000000,157000.000000,159500.000000,130346.414063,491641
2010-10-27,158500.000000,161500.000000,155500.000000,159000.000000,129937.804688,509646
2010-10-28,157500.000000,159000.000000,153500.000000,154500.000000,126260.304688,564546
2010-10-29,155500.000000,155500.000000,150000.000000,151000.000000,123400.031250,488317
2010-11-01,152500.000000,159000.000000,149000.000000,158500.000000,129529.187500,576548
2010-11-02,158000.000000,167000.000000,155500.000000,166000.000000,135658.328125,1251305
2010-11-03,169500.000000,171500.000000,166500.000000,167000.000000,136475.546875,609377
2010-11-04,168000.000000,168500.000000,163000.000000,164000.000000,134023.906250,551991
2010-11-05,167500.000000,171500.000000,166000.000000,168500.000000,137701.375000,729861
2010-11-08,170500.000000,174000.000000,168000.000000,169500.000000,138518.609375,507265
2010-11-09,169500.000000,172000.000000,168500.000000,172000.000000,140561.640625,275182
2010-11-10,172500.000000,178500.000000,172000.000000,178000.000000,145464.953125,589391
2010-11-11,178500.000000,182500.000000,174000.000000,174000.000000,142196.062500,899493
2010-11-12,177000.000000,179000.000000,170000.000000,172000.000000,140561.640625,828513
2010-11-15,170000.000000,172500.000000,164000.000000,168500.000000,137701.375000,983798
2010-11-16,169500.000000,175500.000000,166500.000000,171500.000000,140153.031250,695177
2010-11-17,168500.000000,172000.000000,166000.000000,166000.000000,135658.328125,870382
