Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,241000,247000,239000,246000,230545.3594,70009
2010-10-04,245500,248500,243000,246500,231013.9531,52641
2010-10-05,246500,249500,244000,249000,233356.875,71051
2010-10-06,249500,249500,241500,246000,230545.3594,90070
2010-10-07,245500,245500,234000,237000,222110.7656,131608
2010-10-08,236500,242000,235000,237000,222110.7656,66807
2010-10-11,239500,243500,239000,239000,223985.1094,51046
2010-10-12,239000,241500,229000,236000,221173.5938,56617
2010-10-13,234000,235500,228000,229000,214613.3594,112977
2010-10-14,230500,231000,225500,227000,212739,161539
2010-10-15,227000,228000,224000,226500,212270.4219,82363
2010-10-18,226000,229500,224500,225000,210864.6563,86199
2010-10-19,226000,226500,224000,225000,210864.6563,74651
2010-10-20,223000,224000,218500,221500,207584.5781,123916
2010-10-21,222000,223500,219000,222500,208521.7188,66550
2010-10-22,221500,229000,221500,228500,214144.7813,73729
2010-10-25,228500,229000,224000,228000,213676.1875,49032
2010-10-26,227500,232500,225500,230500,216019.125,103519
2010-10-27,230500,232500,226500,230000,215550.5156,47483
2010-10-28,229500,229500,221500,223000,208990.2969,250681
2010-10-29,222000,222000,213500,216500,202898.6406,133415
2010-11-01,218500,223000,216000,223000,208990.2969,67406
2010-11-02,220500,222000,213000,215000,201492.875,105484
2010-11-03,216500,218000,216000,216000,202430.0469,70864
2010-11-04,217000,221500,216000,218000,204304.4375,127681
2010-11-05,222000,222500,219000,219000,205241.5938,111493
2010-11-08,220000,221000,215500,218000,204304.4375,90679
2010-11-09,217000,218500,214500,218500,204773.0313,104949
2010-11-10,217500,219000,215500,219000,205241.5938,96858
2010-11-11,218000,223000,217500,218000,204304.4375,100398
2010-11-12,220500,226000,218000,219000,205241.5938,112084
2010-11-15,223000,224000,219500,222000,208053.125,108371
2010-11-16,222000,223500,217000,221000,207115.9688,69759
2010-11-17,220000,222500,218000,220000,206178.7656,63276
2010-11-18,219000,221500,216000,220000,206178.7656,85396
2010-11-19,220000,220500,216500,218000,204304.4375,64785
2010-11-22,220000,223500,218000,223000,208990.2969,82777
2010-11-23,224000,226000,220000,221000,207115.9688,78353
2010-11-24,215000,218500,212500,218000,204304.4375,114441
2010-11-25,218500,219000,214500,215500,201961.4688,67349
2010-11-26,216000,216500,210500,211500,198212.7813,57047
2010-11-29,212500,215000,210000,213500,200087.1406,34424
2010-11-30,215000,217000,214000,214000,200555.7188,43356
2010-12-01,216000,216000,213000,214500,201024.2969,47246
2010-12-02,215500,216000,212500,213000,199618.5469,83313
2010-12-03,213500,215500,211500,211500,198212.7813,62485
2010-12-06,213000,213500,211000,213500,200087.1406,29982
2010-12-07,212500,214500,212500,214000,200555.7188,31952
2010-12-08,213500,215500,212000,214000,200555.7188,45436
2010-12-09,215000,215500,212000,215000,201492.875,60235
2010-12-10,214500,214500,211500,212500,199149.9688,52537
2010-12-13,213500,214000,211000,213000,199618.5469,42884
2010-12-14,212500,213000,210500,212000,198681.375,55336
2010-12-15,211500,213500,209500,211500,198212.7813,75397
2010-12-16,211500,211500,209000,209500,196338.4375,59459
2010-12-17,210500,211000,208500,209000,195869.8281,47001
2010-12-20,208500,210000,207500,209000,195869.8281,55835
2010-12-21,209500,214500,209500,212500,199149.9688,75577
2010-12-22,214500,218000,214000,217000,203367.2344,99424
2010-12-23,220500,221000,214000,215500,201961.4688,83221
2010-12-24,216500,216500,214000,214000,200555.7188,31697
2010-12-27,213000,215500,211000,215000,201492.875,37876
2010-12-28,216000,219000,215000,218000,204304.4375,52732
2010-12-29,216000,217500,213000,216500,206691.1719,51457
2010-12-30,217500,217500,214500,217000,207168.5156,38499
2011-01-03,217000,218500,214000,215500,205736.4531,60549
2011-01-04,215500,216500,213500,214500,204781.7656,60286
2011-01-05,214500,215000,210000,212000,202395.0469,101609
2011-01-06,211500,213000,211500,213000,203349.75,52073
2011-01-07,213000,215500,212500,213500,203827.0781,51354
2011-01-10,213500,213500,206500,207500,198098.9063,141159
2011-01-11,209000,211500,208500,211000,201440.3281,54396
2011-01-12,211000,212000,208500,210500,200963,34980
2011-01-13,214500,214500,209500,209500,200008.2969,81347
2011-01-14,209500,210000,208000,208500,199053.625,53713
2011-01-17,209000,210000,207500,209000,199530.9531,93966
2011-01-18,207500,209500,202500,203000,193802.7969,151441
2011-01-19,204500,205000,199000,200000,190938.7031,167989
2011-01-20,200000,201000,196500,197500,188551.9688,84406
2011-01-21,198000,203000,197500,201000,191893.4219,69146
2011-01-24,202500,205000,200000,203000,193802.7969,52738
2011-01-25,201000,203000,198500,199500,190461.375,61921
2011-01-26,201000,202000,199000,199500,190461.375,24282
2011-01-27,199000,202000,196500,197500,188551.9688,66942
2011-01-28,199500,199500,191500,195500,186642.5938,101726
2011-01-31,194000,194500,191000,192500,183778.5,103303
2011-02-01,193000,195000,191000,193000,184255.8281,48771
2011-02-07,194000,195500,191500,193500,184733.1875,86386
2011-02-08,192000,197000,191000,194500,185687.9219,92356
2011-02-09,197000,202500,196500,200000,190938.7031,126489
2011-02-10,200000,201000,197000,198000,189029.3281,120322
2011-02-11,199000,207500,198500,201500,192370.75,130873
2011-02-14,203500,204000,198500,201000,191893.4219,45314
2011-02-15,198000,199500,195500,199000,189984.0313,67673
2011-02-16,197000,204500,195000,202000,192848.0938,70272
2011-02-17,202000,205500,200000,203500,194280.1563,69390
2011-02-18,204500,206000,201000,202500,193325.4375,36613
2011-02-21,200500,208000,200000,206000,196666.875,73836
2011-02-22,206000,208500,203000,206000,196666.875,61838
2011-02-23,203500,208000,203500,204000,194757.5156,57170
2011-02-24,205500,205500,201000,202500,193325.4375,48450
2011-02-25,201500,202500,199500,201000,191893.4219,37535
2011-02-28,199000,200000,196500,199500,190461.375,22966
2011-03-02,200500,202000,198500,200000,190938.7031,44520
2011-03-03,200000,202000,199000,199500,190461.375,37376
2011-03-04,203000,209500,201000,206500,197144.2031,78557
2011-03-07,207500,211500,205000,206000,196666.875,62233
2011-03-08,205500,210000,205000,206000,196666.875,39381
2011-03-09,208500,212000,207000,209500,200008.2969,57437
2011-03-10,211000,214000,209500,211500,201917.6719,86706
2011-03-11,212000,221500,208000,219500,209555.25,192176
2011-03-14,219000,220000,212500,219000,209077.9063,74307
2011-03-15,217000,219000,207500,215500,205736.4531,58119
2011-03-16,218000,222000,217000,221500,211464.6094,76965
2011-03-17,220500,222000,216000,219000,209077.9063,49452
2011-03-18,217000,221500,213000,220500,210509.9375,75931
2011-03-21,217500,220000,215500,217000,207168.5156,41074
2011-03-22,219000,221000,217000,221000,210987.2813,43198
2011-03-23,220000,221000,216000,219000,209077.9063,41561
2011-03-24,220500,225000,219000,225000,214806.0469,69662
2011-03-25,226500,228000,224000,227500,217192.7969,67913
2011-03-28,229000,229000,225000,225000,214806.0469,40496
2011-03-29,225000,225500,220500,225000,214806.0469,35091
2011-03-30,225000,225500,222500,225000,214806.0469,38421
2011-03-31,227000,230000,224500,230000,219579.5,63009
2011-04-01,230000,230500,226000,229000,218624.8281,79878
2011-04-04,233000,240500,232500,239500,228649.1094,165304
2011-04-05,242500,243500,235000,239000,228171.7656,73739
2011-04-06,240000,241000,237000,240000,229126.4375,45257
2011-04-07,240000,240000,232500,238000,227217.0625,57197
2011-04-08,241500,242500,236000,240000,229126.4375,62949
2011-04-11,240000,240000,233500,233500,222920.9375,34451
2011-04-12,233000,236500,230500,231500,221011.5781,40001
2011-04-13,232000,242500,232000,242500,231513.1875,71470
