Date,Open,High,Low,Close,Adj Close,Volume
2013-04-08,170500.000000,173000.000000,148500.000000,148500.000000,144311.250000,457548
2013-04-09,149500.000000,162000.000000,147500.000000,152000.000000,147712.531250,351390
2013-04-10,153500.000000,156500.000000,142500.000000,153000.000000,148684.312500,294955
2013-04-11,154000.000000,175000.000000,153500.000000,170000.000000,165204.812500,272987
2013-04-12,172000.000000,184500.000000,170500.000000,175000.000000,170063.781250,209749
2013-04-15,175000.000000,189500.000000,170000.000000,178000.000000,172979.125000,119520
2013-04-16,178000.000000,178000.000000,170000.000000,171000.000000,166176.578125,106598
2013-04-17,171000.000000,174000.000000,160000.000000,170000.000000,165204.812500,91113
2013-04-18,163500.000000,171000.000000,163500.000000,166500.000000,161803.500000,49906
2013-04-19,165000.000000,168000.000000,156500.000000,166000.000000,161317.625000,124623
2013-04-22,165500.000000,168000.000000,162500.000000,163000.000000,158402.234375,50775
2013-04-23,164000.000000,164000.000000,156000.000000,156500.000000,152085.578125,76809
2013-04-24,157500.000000,158000.000000,143000.000000,144500.000000,140424.062500,295972
2013-04-25,146000.000000,151000.000000,143500.000000,147000.000000,142853.562500,130756
2013-04-26,147500.000000,148000.000000,142000.000000,145500.000000,141395.875000,83819
2013-04-29,145500.000000,147000.000000,142500.000000,143000.000000,138966.390625,55603
2013-04-30,145000.000000,151000.000000,143000.000000,149000.000000,144797.140625,127450
2013-05-02,150000.000000,154000.000000,148500.000000,148500.000000,144311.250000,82588
2013-05-03,145500.000000,165500.000000,145000.000000,163000.000000,158402.234375,375036
2013-05-06,165000.000000,168000.000000,159500.000000,166500.000000,161803.500000,90981
2013-05-07,165000.000000,169000.000000,160500.000000,163000.000000,158402.234375,56345
2013-05-08,161000.000000,163500.000000,161000.000000,163500.000000,158888.156250,286514
2013-05-09,165500.000000,167500.000000,158500.000000,160000.000000,155486.843750,55879
2013-05-10,161000.000000,167000.000000,158000.000000,165000.000000,160345.828125,57597
2013-05-13,163500.000000,167500.000000,162000.000000,165000.000000,160345.828125,33415
2013-05-14,165000.000000,165000.000000,161000.000000,161000.000000,156458.656250,44604
2013-05-15,161000.000000,162000.000000,146500.000000,156000.000000,151599.687500,93331
2013-05-16,152500.000000,155500.000000,148000.000000,153000.000000,148684.312500,67244
2013-05-20,150000.000000,153000.000000,148000.000000,148000.000000,143825.359375,42658
2013-05-21,148000.000000,156500.000000,148000.000000,156500.000000,152085.578125,37676
2013-05-22,156500.000000,156500.000000,152500.000000,153500.000000,149170.218750,26507
2013-05-23,155500.000000,155500.000000,150500.000000,150500.000000,146254.828125,22704
2013-05-24,151000.000000,156500.000000,150000.000000,151000.000000,146740.718750,20523
2013-05-27,152000.000000,154500.000000,150000.000000,150500.000000,146254.828125,15495
2013-05-28,150500.000000,154000.000000,149500.000000,154000.000000,149656.125000,23800
2013-05-29,155000.000000,155000.000000,151000.000000,153500.000000,149170.218750,29885
2013-05-30,154000.000000,154000.000000,147000.000000,148500.000000,144311.250000,40111
2013-05-31,149500.000000,149500.000000,134000.000000,142500.000000,138480.500000,127413
2013-06-03,140000.000000,142000.000000,135500.000000,135500.000000,131677.937500,81359
2013-06-04,135500.000000,138500.000000,125500.000000,127000.000000,123417.695313,133615
2013-06-05,127500.000000,130500.000000,125000.000000,125000.000000,121474.117188,64486
2013-06-07,126500.000000,130000.000000,126000.000000,129000.000000,125361.289063,35912
2013-06-10,130000.000000,131500.000000,125500.000000,127000.000000,123417.695313,30320
2013-06-11,127000.000000,134500.000000,126500.000000,133500.000000,129734.351563,64359
2013-06-12,133000.000000,135000.000000,130500.000000,131500.000000,127790.765625,27247
