Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,21900.000000,23150.000000,21900.000000,23000.000000,18093.980469,1673526
2010-10-04,23250.000000,23900.000000,23000.000000,23500.000000,18487.326172,1266053
2010-10-05,23250.000000,23700.000000,23050.000000,23300.000000,18329.988281,737925
2010-10-06,23600.000000,23600.000000,22700.000000,22750.000000,17897.306641,1038495
2010-10-07,22900.000000,23050.000000,22100.000000,22100.000000,17385.957031,1005886
2010-10-08,22350.000000,23100.000000,22200.000000,22950.000000,18054.644531,799341
2010-10-11,23050.000000,23100.000000,22400.000000,22850.000000,17975.978516,538874
2010-10-12,22750.000000,23400.000000,22700.000000,23350.000000,18369.324219,1030035
2010-10-13,23450.000000,24100.000000,23350.000000,23950.000000,18841.337891,1462835
2010-10-14,23900.000000,23950.000000,22650.000000,22800.000000,17936.642578,2230095
2010-10-15,22850.000000,23050.000000,22550.000000,22700.000000,17857.972656,735641
2010-10-18,22600.000000,22650.000000,22150.000000,22200.000000,17464.626953,932365
2010-10-19,22350.000000,22550.000000,21950.000000,22000.000000,17307.287109,590737
2010-10-20,22400.000000,23100.000000,22350.000000,23100.000000,18172.650391,1441497
2010-10-21,23150.000000,23150.000000,22600.000000,22700.000000,17857.972656,659588
2010-10-22,22750.000000,22800.000000,22300.000000,22550.000000,17739.966797,523148
2010-10-25,22800.000000,23700.000000,22800.000000,23650.000000,18605.335938,1033259
2010-10-26,23650.000000,23800.000000,23250.000000,23750.000000,18684.003906,835590
2010-10-27,23750.000000,24050.000000,23450.000000,23750.000000,18684.003906,637560
2010-10-28,23450.000000,24450.000000,23450.000000,24350.000000,19156.017578,1012470
2010-10-29,24300.000000,24300.000000,23400.000000,24000.000000,18880.675781,724473
2010-11-01,24100.000000,24600.000000,23950.000000,24600.000000,19352.693359,696458
2010-11-02,24500.000000,25000.000000,24150.000000,24650.000000,19392.029297,622735
2010-11-03,25000.000000,25900.000000,24950.000000,25750.000000,20257.394531,1570674
2010-11-04,25750.000000,25800.000000,24850.000000,25300.000000,19903.378906,1039346
2010-11-05,25600.000000,25600.000000,24550.000000,24550.000000,19313.357422,687312
2010-11-08,24550.000000,24700.000000,23900.000000,24250.000000,19077.347656,469856
2010-11-09,24600.000000,25100.000000,24300.000000,24700.000000,19431.363281,712480
2010-11-10,24650.000000,25000.000000,24450.000000,24900.000000,19588.701172,420559
