Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,274000,274000,265000,265000,263435,120899
2010-10-04,266500,267000,259500,259500,257967.5156,116277
2010-10-05,259500,268000,259500,265000,263435,104717
2010-10-06,266000,275000,265000,275000,273375.9688,141608
2010-10-07,275500,295000,272500,286000,284311,282382
2010-10-08,288500,292500,280000,286500,284808.0625,155522
2010-10-11,291000,297000,273500,276500,274867.0938,200735
2010-10-12,276000,278000,267000,271500,269896.625,103011
2010-10-13,275000,278500,272000,277500,275861.2188,72324
2010-10-14,282000,288000,280000,288000,286299.1875,104898
2010-10-15,286500,292000,283000,290500,288784.4375,126549
2010-10-18,289000,289000,281500,282500,280831.6563,88513
2010-10-19,285500,291000,284000,285500,283813.9375,121846
2010-10-20,282000,290000,277500,288000,286299.1875,121736
2010-10-21,295000,295000,290000,292000,290275.5625,134623
2010-10-22,290000,305000,289000,304000,302204.6875,240630
2010-10-25,303000,312500,302000,310500,308666.3438,250391
2010-10-26,311000,315500,306000,307500,305684.0625,170046
2010-10-27,308000,313500,296500,297500,295743.0938,191884
2010-10-28,299500,307000,298000,306500,304689.9375,140710
2010-10-29,310000,314000,299000,299500,297731.3125,129084
2010-11-01,304500,305000,292500,296500,294749,172716
2010-11-02,299000,311000,299000,306000,304192.9063,173651
2010-11-03,311500,317000,307000,313000,311151.5625,172514
2010-11-04,311500,315500,301500,301500,299719.4688,196683
2010-11-05,303500,304500,291000,292000,290275.5625,191938
2010-11-08,293000,293500,282500,290500,288784.4375,181813
2010-11-09,292000,298500,290500,298500,296737.1875,108407
2010-11-10,300000,308000,298500,304500,302701.75,105320
2010-11-11,306000,314000,299000,299000,297234.2188,193557
2010-11-12,308000,314000,298000,300000,298228.3438,226324
2010-11-15,297500,301000,280000,285000,283316.875,184407
2010-11-16,286000,287500,270500,278000,276358.2188,145565
2010-11-17,274000,291500,273000,286000,284311,157099
2010-11-18,289500,293000,284000,289000,287293.2813,117778
2010-11-19,290500,304500,290000,304000,302204.6875,163794
2010-11-22,303500,310500,295500,296500,294749,150078
2010-11-23,297000,298500,285500,289000,287293.2813,99008
