Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,16620,17490,16380,17280,17280,641780
2010-10-04,17250,18180,17190,18000,18000,513093
2010-10-05,18090,18600,17370,17640,17640,282474
2010-10-06,17820,18270,17550,17910,17910,285067
2010-10-07,17910,19860,17580,19620,19620,602371
2010-10-08,19620,19890,18840,19620,19620,333869
2010-10-11,19500,19770,18960,19500,19500,274268
2010-10-12,19260,20160,19140,20010,20010,429179
2010-10-13,19980,21750,19800,21300,21300,816574
2010-11-02,21200,21400,18600,19550,19550,1480197
2010-11-03,19250,19950,17400,18100,18100,1108859
2010-11-04,18000,19300,17850,19000,19000,515687
2010-11-05,19050,19100,18100,18500,18500,251114
2010-11-08,18500,18500,17700,17800,17800,258457
2010-11-09,17700,18000,16950,17100,17100,307073
2010-11-10,17000,17000,16050,16350,16350,469750
2010-11-11,16300,17250,16200,16750,16750,343357
2010-11-12,16850,17600,16400,17200,17200,337090
2010-11-15,16850,17000,16250,16950,16950,202733
2010-11-16,16950,17250,16450,16650,16650,138913
2010-11-17,16350,17000,16350,16850,16850,109390
2010-11-18,16850,16950,15650,16300,16300,336340
2010-11-19,16150,16450,15850,16150,16150,165371
2010-11-22,16250,16250,15750,16000,16000,140618
2010-11-23,16000,16100,15500,15750,15750,121181
2010-11-24,15000,16750,15000,16500,16500,419385
2010-11-25,16700,16750,16100,16250,16250,119346
2010-11-26,16500,16500,15650,15800,15800,105681
2010-11-29,15950,16300,15650,16200,16200,81312
2010-11-30,16000,16250,15550,15750,15750,200899
2010-12-01,15800,16550,15700,16500,16500,181343
2010-12-02,16700,18000,16650,17850,17850,547805
2010-12-03,17650,17750,17050,17450,17450,212692
2010-12-06,17400,17750,16500,17200,17200,176548
2010-12-07,17200,17300,16700,17100,17100,111066
2010-12-08,17450,17700,17000,17100,17100,245499
2010-12-09,17100,17100,15800,16500,16500,489496
2010-12-10,16500,16500,16200,16450,16450,107344
2010-12-13,16500,16650,16150,16400,16400,121461
2010-12-14,16500,16500,16050,16100,16100,154054
2010-12-15,16150,16450,15850,16400,16400,190718
2010-12-16,16550,16550,16000,16000,16000,102576
2010-12-17,15000,15650,14700,15350,15350,861224
2010-12-20,15000,15500,14900,15500,15500,200231
2010-12-21,15400,15400,15050,15150,15150,359746
2010-12-22,15150,15300,14650,14750,14750,266051
2010-12-23,14750,15050,14350,14650,14650,238082
2010-12-24,14600,15100,13750,13950,13950,398221
2010-12-27,13700,14200,13500,13950,13950,310787
2010-12-28,14050,14100,13500,13500,13500,304221
2010-12-29,13300,13450,12900,13250,13250,413436
2010-12-30,13250,14150,13150,13850,13850,305109
2011-01-03,14200,14350,13850,14350,14350,195836
2011-01-04,14350,15100,14250,14750,14750,564420
2011-01-05,14800,15700,14550,15400,15400,587382
2011-01-06,15500,15900,15100,15550,15550,308625
2011-01-07,15600,15650,14950,15500,15500,346988
2011-01-10,15600,15600,15300,15400,15400,136880
2011-01-11,15200,15650,14650,15500,15500,331766
2011-01-12,15600,16750,15300,16450,16450,642874
2011-01-13,16450,16450,16050,16300,16300,290437
2011-01-14,16100,16300,15600,15850,15850,289332
2011-01-17,15850,15850,15600,15700,15700,178368
2011-01-18,15950,16000,15750,15750,15750,152593
2011-01-19,15750,15750,15450,15700,15700,151558
