Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,28400,28700,27600,28050,21889.44336,97546
2010-10-04,28100,28550,27650,28550,22279.63086,71800
2010-10-05,28500,29100,28300,28950,22591.7793,85200
2010-10-06,29000,29850,28800,29000,22630.79883,71180
2010-10-07,29050,29050,28000,28500,22240.61133,110551
2010-10-08,28000,29500,27950,28350,22123.55469,122906
2010-10-11,28400,28400,27750,27900,21772.39063,73736
2010-10-12,28000,28200,27350,27900,21772.39063,51891
2010-10-13,28300,29250,27900,29250,22825.89258,108164
2010-10-14,29050,30000,29050,29800,23255.0957,112888
2010-10-15,29050,29900,29000,29900,23333.13281,77356
2010-10-18,30200,30200,28700,29050,22669.81445,64789
2010-10-19,29000,29000,28050,28050,21889.44336,82611
2010-10-20,27900,27900,27100,27650,21577.29492,96581
2010-10-21,27700,28500,27300,28450,22201.59375,77930
2010-10-22,28450,29150,27700,27900,21772.39063,87294
2010-10-25,28000,28000,27200,27750,21655.33398,111279
2010-10-26,28200,29500,27750,28300,22084.53711,1228316
2010-10-27,29300,29550,28550,28750,22435.70508,255812
2010-10-28,28800,28850,27700,28500,22240.61133,135316
2010-10-29,28500,29450,27950,29350,22903.92773,152980
2010-11-01,28950,29550,28850,29500,23020.98438,138303
2010-11-02,29450,30200,28900,30200,23567.24414,135173
2010-11-03,30200,31900,30200,31100,24269.58008,177568
2010-11-04,30850,31050,30100,30850,24074.48438,98384
2010-11-05,30000,30750,29550,30550,23840.37305,87390
2010-11-08,30550,30850,29700,30800,24035.46875,92941
2010-11-09,31100,31100,30300,30900,24113.50586,76904
2010-11-10,31200,32400,30900,31650,24698.7832,141460
2010-11-11,31650,31800,29700,29700,23177.05859,224950
2010-11-12,30300,30750,28500,29250,22825.89258,217416
2010-11-15,29550,30250,28900,29450,22981.96484,156134
2010-11-16,29100,30900,28700,29800,23255.0957,166969
2010-11-17,28850,30650,28800,30600,23879.39453,65471
2010-11-18,30600,32600,30600,32500,25362.10156,175922
2010-11-19,32450,33950,32400,33050,25791.30273,134543
2010-11-22,32500,33050,32500,32900,25674.25,53471
2010-11-23,33000,33000,32000,32850,25635.23242,77220
2010-11-24,32350,33500,31100,33500,26142.47461,155618
2010-11-25,33850,34350,32600,33300,25986.40039,143699
2010-11-26,33000,34100,33000,33800,26376.58398,88940
2010-11-29,33900,34300,31550,31800,24815.8418,242293
2010-11-30,32400,33500,31800,33500,26142.47461,126260
2010-12-01,33550,35000,32500,34650,27039.90234,141562
2010-12-02,34800,35000,34350,34500,26922.8457,126630
2010-12-03,34450,34800,33300,33850,26415.60156,152360
